City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
137,Anaconda,46.1285,-112.9423,43.79,broken clouds,60,62,18.14,US
138,Paranga,56.7039,49.4047,45.28,scattered clouds,67,41,6.93,RU
139,Airai,-8.9266,125.4092,60.15,broken clouds,96,61,3.89,TL
140,Beringovskiy,63.05,179.3167,27.43,overcast clouds,92,100,6.24,RU
141,Tuatapere,-46.1333,167.6833,55.69,moderate rain,95,90,2.75,NZ
142,Makakilo City,21.3469,-158.0858,73.72,overcast clouds,71,100,13.89,US
143,Meulaboh,4.1363,96.1285,77.0,overcast clouds,90,100,6.24,ID
144,Camacupa,-12.0167,17.4833,66.65,broken clouds,63,75,3.69,AO
145,Manyana,-23.4,21.7167,69.44,broken clouds,26,52,4.94,BW
146,Pilna,55.5539,45.9219,47.59,scattered clouds,64,37,7.25,RU
147,Muggia,45.6042,13.7675,66.09,broken clouds,80,75,1.99,IT
148,Veraval,20.9,70.3667,82.44,clear sky,76,0,16.11,IN
149,Smithers,54.7804,-127.1743,48.74,scattered clouds,44,35,4.16,CA
150,Yokote,39.3,140.5667,46.27,overcast clouds,91,87,7.67,JP
151,Cape Town,-33.9258,18.4232,59.27,clear sky,73,0,10.0,ZA
152,San Cristobal,7.7669,-72.225,78.98,overcast clouds,73,98,5.35,VE
153,Kieta,-6.2167,155.6333,78.64,overcast clouds,84,99,0.85,PG
154,Malatya,38.5,38.0,51.85,broken clouds,54,75,8.05,TR
155,Lumeje,-11.55,20.7833,71.6,broken clouds,53,80,4.56,AO
156,Baley,51.6,116.6333,40.84,few clouds,31,23,5.37,RU
157,Karratha,-20.7377,116.8463,75.72,clear sky,67,5,8.43,AU
158,Malakal,9.5334,31.6605,87.8,broken clouds,49,80,3.31,SS
159,Yeppoon,-23.1333,150.7333,65.98,overcast clouds,86,98,8.7,AU
160,Luau,-10.7073,22.2247,69.67,overcast clouds,68,85,3.51,AO
161,Tromso,69.6496,18.957,33.82,broken clouds,86,75,4.61,NO
162,Grindavik,63.8424,-22.4338,46.87,broken clouds,71,75,23.02,IS
163,Luderitz,-26.6481,15.1594,59.43,clear sky,64,0,24.67,NA
164,Russell,32.3502,-85.1999,77.95,few clouds,44,20,12.66,US
165,Talaya,61.3833,152.75,17.53,overcast clouds,94,99,4.41,RU
166,Pevek,69.7008,170.3133,23.04,overcast clouds,95,100,4.97,RU
167,Chimbote,-9.0853,-78.5783,70.79,scattered clouds,74,34,11.16,PE
168,Uyuni,-20.4597,-66.825,60.69,scattered clouds,20,31,13.04,BO
169,Lerwick,60.1545,-1.1494,48.2,scattered clouds,60,43,10.18,GB
170,Hearst,49.6835,-83.6665,59.54,few clouds,23,15,5.99,CA
171,Saiha,22.4833,92.9667,69.15,clear sky,90,3,2.84,IN
172,Georgetown,5.4112,100.3354,84.13,few clouds,84,20,0.0,MY
173,Yambio,4.5721,28.3955,72.01,light rain,80,83,4.29,SS
174,Nantucket,41.2835,-70.0995,51.94,overcast clouds,86,100,23.02,US
175,Gravdal,68.1214,13.5031,37.26,overcast clouds,61,95,26.33,NO
176,Aquiraz,-3.9014,-38.3911,86.09,overcast clouds,80,100,9.53,BR
177,Baykit,61.67,96.37,29.1,overcast clouds,88,97,11.83,RU
178,Suntar,62.1444,117.6319,33.85,overcast clouds,88,89,6.78,RU
179,Port Blair,11.6667,92.75,81.9,overcast clouds,83,100,19.73,IN
180,Pinega,64.7001,43.3936,45.27,broken clouds,89,67,9.15,RU
181,Codrington,-38.2667,141.9667,52.61,broken clouds,84,60,8.14,AU
182,Faanui,-16.4833,-151.75,80.56,light rain,78,12,7.76,PF
183,Batesville,35.7698,-91.641,72.09,few clouds,59,14,3.0,US
184,Sovetskiy,61.3614,63.5842,37.38,overcast clouds,96,97,4.38,RU
