City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
312,Caravelas,BR,76.42,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
315,Ampanihy,MG,71.02,scattered clouds,-24.7,44.75,Angora Hotel
316,Natal,BR,83.05,moderate rain,-5.795,-35.2094,Villa Park Hotel | Natal
318,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
320,Grand-Lahou,CI,82.81,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
321,Itarema,BR,82.44,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
329,Gizo,SB,82.76,overcast clouds,-8.103,156.8419,Imagination Island
333,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
334,Chuy,UY,70.3,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
337,Brindisi,IT,66.56,broken clouds,40.5833,17.6667,Agriturismo Tibitone
339,Long Xuyen,VN,78.75,light rain,10.3833,105.4167,Nhà nghĩ Vy Linh
341,Zabid,YE,84.97,overcast clouds,14.1951,43.3152,مغرب التريبه
342,Karachi,PK,82.22,scattered clouds,24.9056,67.0822,Sadaat
344,Finschhafen,PG,80.38,scattered clouds,-6.6024,147.8681,Cossam Guest House
346,Moyale,KE,67.46,overcast clouds,3.5167,39.0584,La Tahzan Guest House
351,Pisco,PE,69.85,mist,-13.7,-76.2167,Hotel San Isidro Oficial
354,Kahului,US,73.85,light rain,20.8947,-156.47,Maui Seaside Hotel
363,Marsabit,KE,71.53,overcast clouds,2.3284,37.9899,Chicho Hotel
368,Nabire,ID,75.97,broken clouds,-3.3667,135.4833,Hotel Nusantara I
369,Jetis,ID,76.89,broken clouds,-7.2144,111.5179,PONPES TAHFIDZ ALHASBIYAH ASSALAM
370,Komsomolskiy,UZ,77.81,clear sky,40.4272,71.7189,Ikathouse
371,Statesville,US,71.1,overcast clouds,35.7826,-80.8873,Courtyard by Marriott Statesville Mooresville/Lake Norman
373,Paita,PE,75.13,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
375,Hambantota,LK,81.54,broken clouds,6.1241,81.1185,Bungalow 63
377,Lucapa,AO,72.12,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
380,Moron,AR,76.01,clear sky,-34.6534,-58.6198,Hotel Morón
